City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
145,oussouye,100,SN,1651344336,49,12.485,-16.5469,89.78,11.81
146,torbay,100,CA,1651344336,96,47.6666,-52.7314,44.76,8.05
147,eureka,97,US,1651344337,89,40.8021,-124.1637,57.2,1.01
148,saint-pierre,100,RE,1651344337,81,-21.3393,55.4781,78.48,4.61
149,puerto carreno,75,CO,1651344338,94,6.189,-67.4859,75.18,2.3
150,kupang,9,ID,1651344338,85,-10.1667,123.5833,77.31,6.15
151,necochea,9,AR,1651344339,38,-38.5473,-58.7368,58.14,9.35
152,tautira,32,PF,1651344339,75,-17.7333,-149.15,79.66,14.74
153,hilo,100,US,1651344339,94,19.7297,-155.09,75.25,1.01
154,quatre cocos,56,MU,1651344340,78,-20.2078,57.7625,77.11,11.74
155,upernavik,90,GL,1651344067,64,72.7868,-56.1549,20.14,4.7
156,saint-philippe,10,RE,1651344341,79,-21.3585,55.7679,78.39,11.81
157,sao filipe,91,CV,1651344341,72,14.8961,-24.4956,72.82,7.56
158,sorong,100,ID,1651344342,86,-0.8833,131.25,79.16,5.61
159,mena,19,UA,1651344342,74,51.5217,32.2157,43.34,4.43
160,kaeo,85,NZ,1651344343,96,-35.1,173.7833,55.33,5.35
161,hamilton,20,US,1651344326,75,39.1834,-84.5333,70.23,10.36
162,nikolskoye,100,RU,1651344343,66,59.7035,30.7861,39.09,5.86
163,krasnoselkup,98,RU,1651344344,93,65.7,82.4667,17.22,12.37
164,cherskiy,77,RU,1651344344,97,68.75,161.3,4.59,4.29
165,la romana,75,DO,1651344306,88,18.4273,-68.9728,77.36,11.5
166,thunder bay,100,CA,1651344327,57,48.4001,-89.3168,48.29,20.71
167,sasolburg,0,ZA,1651344345,28,-26.8136,27.817,53.44,7.23
168,grand gaube,4,MU,1651344346,79,-20.0064,57.6608,77.4,16.53
169,mahon,0,ES,1651344130,59,39.8885,4.2658,63.16,9.22
170,wuwei,100,CN,1651344346,46,37.9281,102.6414,43.75,3.83
171,narsaq,16,GL,1651344347,58,60.9167,-46.05,57.42,3.56
172,beringovskiy,100,RU,1651344347,92,63.05,179.3167,24.87,16.22
173,robertson,75,US,1651344348,60,36.5167,-86.8667,81.75,16.11
174,komsomolskiy,89,UZ,1651344348,56,40.4272,71.7189,70.52,9.22
175,portland,100,US,1651344304,79,45.5234,-122.6762,57.52,9.22
176,vostok,100,RU,1651344349,78,46.4856,135.8833,35.98,4.85
177,novoselitskoye,100,RU,1651344349,68,44.7508,43.4369,61.5,11.32
178,bintulu,20,MY,1651344350,100,3.1667,113.0333,75.61,0.0
179,garowe,46,SO,1651344350,67,8.4054,48.4845,81.34,17.09
180,meulaboh,100,ID,1651344351,85,4.1363,96.1285,79.5,1.01
181,inhambane,40,MZ,1651344351,78,-23.865,35.3833,76.98,4.61
182,upata,100,VE,1651344352,35,8.0086,-62.3989,89.19,7.31
183,niteroi,100,BR,1651344352,98,-22.8833,-43.1036,78.42,12.66
184,novoanninskiy,10,RU,1651344353,71,50.5287,42.6747,47.55,8.41
185,sur,86,OM,1651344353,55,22.5667,59.5289,88.93,4.25
186,takoradi,100,GH,1651344232,80,4.8845,-1.7554,81.64,8.57
187,pavlovka,16,RU,1651344354,76,52.6897,47.1405,42.6,8.14
188,port blair,40,IN,1651344354,83,11.6667,92.75,82.44,2.3
189,souillac,40,MU,1651344355,83,-20.5167,57.5167,77.38,12.66
190,dakar,0,SN,1651344118,83,14.6937,-17.4441,79.68,9.22
191,huaihua,95,CN,1651344355,96,27.5494,109.9592,53.83,4.65
192,balykshi,4,KZ,1651344356,87,47.0667,51.8667,50.0,20.13
193,tiznit,0,MA,1651344356,34,29.5833,-9.5,71.64,6.96
194,kenai,0,US,1651344357,55,60.5544,-151.2583,43.03,11.5
195,berbera,100,SO,1651344357,64,10.4396,45.0143,87.19,5.46
196,mugur-aksy,100,RU,1651344358,27,50.35,90.5,45.88,4.47
197,bulgan,98,MN,1651344358,29,48.8125,103.5347,48.25,3.24
198,cabedelo,100,BR,1651344359,73,-6.9811,-34.8339,84.87,14.97
199,shu,2,KZ,1651344359,68,43.5983,73.7614,64.49,8.12
200,flin flon,75,CA,1651344326,46,54.7682,-101.865,51.64,3.44
201,tabory,10,RU,1651344360,57,58.5198,64.5495,31.84,4.5
202,kavieng,100,PG,1651344361,74,-2.5744,150.7967,81.91,3.15
203,orebro,100,SE,1651344361,30,59.2741,15.2066,50.18,0.0
204,ostrovnoy,98,RU,1651344361,83,68.0531,39.5131,18.72,10.31
205,chifeng,100,CN,1651344362,20,42.2683,118.9636,45.3,7.83
206,talara,0,PE,1651344363,57,-4.5772,-81.2719,79.56,16.11
207,kieta,100,PG,1651344363,84,-6.2167,155.6333,78.17,4.0
208,lompoc,0,US,1651344364,57,34.6391,-120.4579,80.85,21.99
209,yushu,100,CN,1651344364,67,44.8,126.5333,37.2,13.38
210,tynda,2,RU,1651344365,80,55.1667,124.7167,21.56,2.04
211,ponta do sol,0,PT,1651344366,64,32.6667,-17.1,70.72,2.01
212,clarksdale,20,US,1651344184,45,34.2001,-90.5709,84.18,17.27
213,avera,7,US,1651344366,40,33.194,-82.5271,82.54,7.63
214,liverpool,20,GB,1651344311,73,53.4106,-2.9779,54.9,11.5
215,dorado,100,PR,1651344368,91,18.4588,-66.2677,80.19,8.05
216,sarwar,0,IN,1651344368,19,26.0667,75.0,91.98,6.29
217,kedrovyy,100,RU,1651344369,68,56.1667,91.8167,64.81,3.15
218,chateau-thierry,0,FR,1651344369,78,49.05,3.4,50.22,7.63
219,pisco,0,PE,1651344288,68,-13.7,-76.2167,71.02,10.36
220,te anau,100,NZ,1651344370,73,-45.4167,167.7167,57.33,8.99
221,stange,38,NO,1651344370,54,60.718,11.1942,50.16,0.87
222,hirado,100,JP,1651344371,70,33.3597,129.5531,54.39,7.14
223,vila,5,PT,1651344371,48,42.0304,-8.1588,59.7,3.67
224,mookane,24,BW,1651344372,44,-23.688,26.6595,68.32,1.39
225,nanortalik,99,GL,1651344372,84,60.1432,-45.2371,38.23,1.28
226,salinopolis,43,BR,1651344373,81,-0.6136,-47.3561,80.6,7.94
227,kologriv,11,RU,1651344373,87,58.8275,44.3178,26.24,4.54
228,khatanga,94,RU,1651344374,97,71.9667,102.5,6.01,8.21
229,saskylakh,100,RU,1651344374,93,71.9167,114.0833,11.7,15.7
230,hobyo,85,SO,1651344375,72,5.3505,48.5268,85.15,12.5
231,nome,100,US,1651344375,54,64.5011,-165.4064,44.67,11.5
232,berlevag,100,NO,1651344376,73,70.8578,29.0864,24.6,15.37
233,raha,100,IN,1651344376,83,26.2333,92.5167,72.12,4.7
234,harper,100,LR,1651344377,78,4.375,-7.7169,81.19,6.96
235,newport,100,GB,1651344301,69,51.5877,-2.9984,57.31,5.93
236,ust-maya,54,RU,1651344378,98,60.4167,134.5333,18.55,1.5
237,anadyr,40,RU,1651344378,68,64.75,177.4833,28.9,24.61
238,fairbanks,0,US,1651344080,43,64.8378,-147.7164,50.34,5.75
239,kinablangan,98,PH,1651344379,89,7.6947,126.5503,77.67,6.4
240,lexington,20,US,1651344367,54,37.9887,-84.4777,78.33,10.36
241,villa carlos paz,0,AR,1651344380,33,-31.4241,-64.4978,65.39,11.34
242,florence,0,IT,1651344380,38,43.7667,11.25,67.68,2.3
243,luanda,20,AO,1651344381,83,-8.8368,13.2343,80.6,5.75
244,tagusao,100,PH,1651344381,85,9.1924,117.8141,79.59,6.13
245,la tijera,98,MX,1651344382,11,19.9,-104.4,84.7,5.14
246,bonthe,46,SL,1651344382,75,7.5264,-12.505,82.13,9.15
